orth_id	hESC_rep1	hESC_rep2	hESC_rep3	mESC_rep1	mESC_rep2	mESC_rep3
ENSG00000117305__ENSMUSG00000028672	818	776	538	831	756	964
ENSG00000179163__ENSMUSG00000028673	488	580	590	948	968	1048
ENSG00000188822__ENSMUSG00000062585	0	0	0	3	1	1
ENSG00000189266__ENSMUSG00000028675	532	362	1070	1019	1458	1831
ENSG00000188529__ENSMUSG00000028676	145	112	519	2372	3685	3877
ENSG00000142661__ENSMUSG00000037139	55	64	63	6	8	17
ENSG00000142677__ENSMUSG00000037157	30	30	28	0	0	4
ENSG00000185436__ENSMUSG00000062157	1001	836	895	155	152	241
ENSG00000158055__ENSMUSG00000037188	76	164	210	558	498	671
ENSG00000001460__ENSMUSG00000028801	771	697	607	14	31	38
ENSG00000001461__ENSMUSG00000028803	694	646	692	538	562	662
ENSG00000117602__ENSMUSG00000059713	808	867	1268	731	784	854
ENSG00000184454__ENSMUSG00000043924	13	10	5	52	72	82
ENSG00000133226__ENSMUSG00000028809	11062	14614	15180	9075	8305	9667
ENSG00000169504__ENSMUSG00000037242	15696	9383	26721	7412	6763	8721
ENSG00000020633__ENSMUSG00000070691	24	24	15	3	15	21
ENSG00000117614__ENSMUSG00000028821	1432	1164	2536	809	867	942
ENSG00000117616__ENSMUSG00000037266	806	905	2045	3915	4407	6651
ENSG00000187010__ENSMUSG00000028825	16	10	36	13	24	30
ENSG00000183726__ENSMUSG00000028822	4327	4493	5732	1145	1056	1326
ENSG00000188672__ENSMUSG00000028825	11	7	1	13	24	30
ENSG00000204178__ENSMUSG00000028826	1223	1169	1957	917	1012	966
ENSG00000157978__ENSMUSG00000037295	1822	1806	1537	360	324	360
ENSG00000117643__ENSMUSG00000037306	469	504	494	89	84	135
ENSG00000162430__ENSMUSG00000050989	9708	10605	8030	160	112	206
ENSG00000255054__ENSMUSG00000050989	0	0	0	160	112	206
ENSG00000117640__ENSMUSG00000046671	1200	1284	1203	911	955	963
ENSG00000127423__ENSMUSG00000078521	1761	1792	1663	467	485	435
ENSG00000182749__ENSMUSG00000037348	600	680	503	24	35	35
ENSG00000117632__ENSMUSG00000028832	29283	32047	29593	2493	2339	2340
ENSG00000158006__ENSMUSG00000037366	1314	1263	1137	560	536	595
