index	gene_id	gene_name
M06159_1	ENSG00000164532	TBX20
M06160_1	ENSG00000164532	TBX20
M06161_1	ENSG00000164532	TBX20
M06162_1	ENSG00000164532	TBX20
M06163_1	ENSG00000121068	TBX2
M06164_1	ENSG00000073861	TBX21
M06165_1	ENSG00000073861	TBX21
M06166_1	ENSG00000073861	TBX21
M06167_1	ENSG00000073861	TBX21
M06168_1	ENSG00000073861	TBX21
M06169_1	ENSG00000073861	TBX21
M06170_1	ENSG00000121068	TBX2
M06171_1	ENSG00000121075	TBX4
M06172_1	ENSG00000121075	TBX4
M06173_1	ENSG00000089225	TBX5
M06174_1	ENSG00000089225	TBX5
M06175_1	ENSG00000071564	TCF3
M06176_1	ENSG00000196628	TCF4
M06177_1	ENSG00000196628	TCF4
M06178_1	ENSG00000152284	TCF7L1
M06179_1	ENSG00000187079	TEAD1
M06180_1	ENSG00000187079	TEAD1
M06181_1	ENSG00000007866	TEAD3
M06182_1	ENSG00000007866	TEAD3
M06183_1	ENSG00000197905	TEAD4
M06184_1	ENSG00000167074	TEF
M06185_1	ENSG00000167074	TEF
M06186_1	ENSG00000137203	TFAP2A
M06187_1	ENSG00000137203	TFAP2A
M06188_1	ENSG00000137203	TFAP2A
M06189_1	ENSG00000137203	TFAP2A
M06190_1	ENSG00000137203	TFAP2A
M06191_1	ENSG00000137203	TFAP2A
M06192_1	ENSG00000008196	TFAP2B
M06193_1	ENSG00000008196	TFAP2B
M06194_1	ENSG00000008196	TFAP2B
M06195_1	ENSG00000087510	TFAP2C
M06196_1	ENSG00000087510	TFAP2C
M06197_1	ENSG00000087510	TFAP2C
M06198_1	ENSG00000087510	TFAP2C
M06199_1	ENSG00000087510	TFAP2C
M06200_1	ENSG00000087510	TFAP2C
M06201_1	ENSG00000090447	TFAP4
M06202_1	ENSG00000090447	TFAP4
M06203_1	ENSG00000135457	TFCP2
M06204_1	ENSG00000135457	TFCP2
M06205_1	ENSG00000068323	TFE3
M06206_1	ENSG00000112561	TFEB
M06207_1	ENSG00000105967	TFEC
M06208_1	ENSG00000177426	TGIF1
M06209_1	ENSG00000118707	TGIF2
M06210_1	ENSG00000153779	TGIF2LX
M06211_1	ENSG00000126351	THRA
M06212_1	ENSG00000151090	THRB
M06213_1	ENSG00000151090	THRB
M06214_1	ENSG00000151090	THRB
M06215_1	ENSG00000073282	TP63
M06216_1	ENSG00000164853	UNCX
M06217_1	ENSG00000164853	UNCX
M06218_1	ENSG00000158773	USF1
M06219_1	ENSG00000148704	VAX1
M06220_1	ENSG00000116035	VAX2
M06221_1	ENSG00000111424	VDR
M06222_1	ENSG00000151650	VENTX
M06223_1	ENSG00000151650	VENTX
M06224_1	ENSG00000100987	VSX1
M06225_1	ENSG00000100987	VSX1
M06226_1	ENSG00000119614	VSX2
M06227_1	ENSG00000100219	XBP1
M06228_1	ENSG00000100219	XBP1
M06229_1	ENSG00000100811	YY1
M06230_1	ENSG00000230797	YY2
M06231_1	ENSG00000230797	YY2
M06232_1	ENSG00000230797	YY2
M06233_1	ENSG00000214717	ZBED1
M06234_1	ENSG00000168826	ZBTB49
M06235_1	ENSG00000178951	ZBTB7A
M06236_1	ENSG00000160685	ZBTB7B
M06237_1	ENSG00000184828	ZBTB7C
M06238_1	ENSG00000152977	ZIC1
M06239_1	ENSG00000156925	ZIC3
M06240_1	ENSG00000174963	ZIC4
M06241_1	ENSG00000166478	ZNF143
M06242_1	ENSG00000167840	ZNF232
M06243_1	ENSG00000179456	ZBTB18
M06244_1	ENSG00000179456	ZBTB18
M06245_1	ENSG00000170265	ZNF282
M06246_1	ENSG00000189298	ZKSCAN3
M06247_1	ENSG00000119725	ZNF410
M06248_1	ENSG00000196812	ZSCAN16
M06249_1	ENSG00000171443	ZNF524
M06250_1	ENSG00000171443	ZNF524
M06251_1	ENSG00000178665	ZNF713
M06252_1	ENSG00000139651	ZNF740
M06253_1	ENSG00000139651	ZNF740
M06254_1	ENSG00000162086	ZNF75A
M06255_1	ENSG00000179922	ZNF784
M06256_1	ENSG00000180532	ZSCAN4
M06389_1	ENSG00000245848	CEBPA
M06390_1	ENSG00000135373	EHF
M06391_1	ENSG00000163508	EOMES
M06392_1	ENSG00000126767	ELK1
M06393_1	ENSG00000126767	ELK1
M06394_1	ENSG00000065970	FOXJ2
M06395_1	ENSG00000065970	FOXJ2
M06396_1	ENSG00000102145	GATA1
M06397_1	ENSG00000102145	GATA1
M06398_1	ENSG00000111087	GLI1
M06399_1	ENSG00000025156	HSF2
M06400_1	ENSG00000064489	BORCS8-MEF2B
M06401_1	ENSG00000143995	MEIS1
M06402_1	ENSG00000143995	MEIS1
M06404_1	ENSG00000131196	NFATC1
M06405_1	ENSG00000131196	NFATC1
M06406_1	ENSG00000143190	POU2F1
M06407_1	ENSG00000143190	POU2F1
M06408_1	ENSG00000057657	PRDM1
M06409_1	ENSG00000132005	RFX1
M06410_1	ENSG00000159216	RUNX1
M06411_1	ENSG00000186350	RXRA
M06412_1	ENSG00000140262	TCF12
M06413_1	ENSG00000187098	MITF
M06414_1	ENSG00000100219	XBP1
M06415_1	ENSG00000129514	FOXA1
M06416_1	ENSG00000073282	TP63
M06417_1	ENSG00000073282	TP63
M06418_1	ENSG00000073282	TP63
M06419_1	ENSG00000066336	SPI1
M06420_1	ENSG00000111087	GLI1
M06421_1	ENSG00000185668	POU3F1
M06422_1	ENSG00000066336	SPI1
M06423_1	ENSG00000163848	ZNF148
M06424_1	ENSG00000164736	SOX17
M06425_1	ENSG00000102974	CTCF
M06426_1	ENSG00000173153	ESRRA
M06427_1	ENSG00000105610	KLF1
M06428_1	ENSG00000185668	POU3F1
M06429_1	ENSG00000182968	SOX1
M06430_1	ENSG00000168610	STAT3
M06431_1	ENSG00000135457	TFCP2
M06432_1	ENSG00000135457	TFCP2
M06433_1	ENSG00000185668	POU3F1
M06434_1	ENSG00000182968	SOX1
M06435_1	ENSG00000121068	TBX2
M06436_1	ENSG00000113916	BCL6
M06437_1	ENSG00000173039	RELA
M06438_1	ENSG00000173039	RELA
M06439_1	ENSG00000106546	AHR
M06440_1	ENSG00000160224	AIRE
M06441_1	ENSG00000180318	ALX1
M06442_1	ENSG00000169083	AR
M06443_1	ENSG00000137203	TFAP2A
M06444_1	ENSG00000137203	TFAP2A
M06445_1	ENSG00000137203	TFAP2A
M06446_1	ENSG00000137203	TFAP2A
M06447_1	ENSG00000116017	ARID3A
M06448_1	ENSG00000116017	ARID3A
M06449_1	ENSG00000196843	ARID5A
M06450_1	ENSG00000143437	ARNT
M06451_1	ENSG00000143437	ARNT
M06452_1	ENSG00000123268	ATF1
M06453_1	ENSG00000162772	ATF3
M06454_1	ENSG00000128272	ATF4
M06455_1	ENSG00000118217	ATF6
M06456_1	ENSG00000156273	BACH1
M06457_1	ENSG00000131668	BARX1
M06458_1	ENSG00000156127	BATF
M06459_1	ENSG00000113916	BCL6
M06460_1	ENSG00000134107	BHLHE40
M06461_1	ENSG00000134107	BHLHE40
M06462_1	ENSG00000143437	ARNT
M06463_1	ENSG00000171634	BPTF
