gene_id	rep1	rep2	rep3
ENSMUSG00000100013	0	0	0
ENSMUSG00000101251	0	0	0
ENSMUSG00000101937	0	0	0
ENSMUSG00000026043	79	72	144
ENSMUSG00000105211	0	0	0
ENSMUSG00000026042	101	77	143
ENSMUSG00000104476	0	0	0
ENSMUSG00000100218	0	0	0
ENSMUSG00000100361	0	2	5
ENSMUSG00000100894	2	0	1
ENSMUSG00000095121	0	0	0
ENSMUSG00000065255	0	0	0
ENSMUSG00000100843	1	0	0
ENSMUSG00000087764	0	0	0
ENSMUSG00000025995	10592	11060	13975
ENSMUSG00000099850	1	3	5
ENSMUSG00000084817	213	208	292
ENSMUSG00000098549	9	6	6
ENSMUSG00000099381	0	0	0
ENSMUSG00000025993	41	22	24
ENSMUSG00000099946	0	0	0
ENSMUSG00000070896	1	3	0
ENSMUSG00000090682	0	0	0
ENSMUSG00000044457	0	0	0
ENSMUSG00000099432	0	0	0
ENSMUSG00000041144	57	45	63
ENSMUSG00000096047	0	0	0
ENSMUSG00000101262	33	27	31
ENSMUSG00000101337	24	25	27
ENSMUSG00000025986	7051	7029	9173
ENSMUSG00000100213	8	17	22
ENSMUSG00000103129	0	0	0
ENSMUSG00000100160	2	1	3
ENSMUSG00000101921	0	0	0
ENSMUSG00000101447	8	8	11
ENSMUSG00000081185	52	52	74
ENSMUSG00000103246	0	0	0
ENSMUSG00000098876	0	0	0
ENSMUSG00000100530	0	0	0
ENSMUSG00000104067	0	0	0
ENSMUSG00000100033	47	35	65
ENSMUSG00000094968	0	0	0
ENSMUSG00000088017	0	0	0
ENSMUSG00000101996	0	0	0
ENSMUSG00000096973	0	0	0
ENSMUSG00000064943	0	0	0
ENSMUSG00000100866	0	0	0
ENSMUSG00000101721	0	0	0
ENSMUSG00000099376	0	0	0
ENSMUSG00000097883	0	0	0
ENSMUSG00000092790	0	0	0
ENSMUSG00000099698	0	0	0
ENSMUSG00000099454	0	0	0
ENSMUSG00000051616	1	2	0
ENSMUSG00000099627	0	0	0
ENSMUSG00000099577	0	0	0
ENSMUSG00000099882	0	0	0
ENSMUSG00000101760	0	0	0
ENSMUSG00000099608	48	38	55
ENSMUSG00000099864	0	0	0
ENSMUSG00000098249	0	0	0
ENSMUSG00000100451	0	0	0
ENSMUSG00000099941	0	0	0
ENSMUSG00000084531	0	0	0
ENSMUSG00000100816	3	2	3
ENSMUSG00000026109	5	4	2
ENSMUSG00000100671	0	1	0
ENSMUSG00000092906	1	0	0
ENSMUSG00000101242	0	0	0
ENSMUSG00000099924	0	0	2
ENSMUSG00000099625	0	2	3
ENSMUSG00000101799	0	2	0
